"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Housing and Public Works","","Public Works Department (PWD)","Rangpur PWD Division","Rng","Rangpur","Works","NCT","TENDER","Tender - Single Lot","PWD/Novo/Rang/RDPP/WD-5.1","231186","1323835","Open Tendering Method (OTM)","Development","Government","Novo Theatre/ Rangpur/ 2nd Rev","Establishment of Novo Theatre, Rangpur (2nd Revised).","PWD/Novo/Rang/RDPP/WD-5.1 Establishment of Novo Theatre, Rangpur (2nd Revised) (Sub-Head: Construction of Sculpture)","Fabricated products and materials; Construction work;Structural metal products;Metal structures and parts of structures;Builders joinery of metal;Metal tanks, reservoirs and containers; central-heating radiators and boilers;Metal tanks, reservoirs, containers and pressure vessels;Central-heating radiators and boilers and parts;Nuclear reactors and parts;Nuclear reactors;Parts of nuclear reactors;Cable, wire and related products;Wire products;Cable and related products;Miscellaneous fabricated metal products and related items;Metal articles for the bathroom and kitchen;Metal goods;Armour plating;Bearings;Mild steel;Props and mining struts;Cast-iron products;Miscellaneous fire-protection equipment;Cutlery, tools, locks, keys and hinges;Cutlery;Tools;Locks, keys and hinges;Fasteners, chain and springs;Fasteners;Chain;Springs;Construction materials and associated items;Construction materials;Road furniture;Sewer mains;Steel products related to construction materials;Oil country tubular goods;Pipeline, piping, pipes, casing, tubing and related items;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","25-Aug-2026 22:50","09-Sep-2026 12:00","This Invitation for Tender (IFT) is open to all eligible tenderer registered in e-GP system meeting the following criteria: 1. The Tenderers must have minimum 05(Five) years of general experience of construction works. 2. The minimum specific experience as a prime contractor in construction works of at least 1(one) number of similar nature of Sculpture works successfully completed within the last 05 (five) years with a value of at least Tk.155.00 (One Hundred and Fifty Five) lac in single contract under public sector of Bangladesh. 3. The required average annual construction turnover shall be greater than Tk. 720.00 (Seven Hundred and Twenty) Lac in last 5 (Five) years. Payment certificates for contract in progress or completed under public sector must be submitted along with the tender in support of average annual construction turnover. In JV works, JV share must be declared, otherwise the certificate will be rejected and tenderer treated as non-responsive. 5. The Tenderer must have a minimum liquid assets/ working capital/credit facilities (in the e-PW2A-8 form without any alteration) Tk. 360.00 (Three Hundred and sixty) Lac. 6. The minimum Tender Capacity of the Tenderer shall have180.00 (One Hundred and Eighty) lac. 7. The Tenderer must enclose VAT registration certificate, up-to-date income tax clearance certificate, up to-date trade license.. 8. PPA 2006 and PPR 2025 will be followed in this Tender. 9. Others qualification stated in TDS & PCC. * Years counting backward from the date of publication of IFT in the e-GP System.","Establishment of Novo Theatre, Rangpur (2nd Revised) (Sub-Head: Construction of Sculpture)","Lot wise","Package wise","Package wise","4000","Payment through Bank","04-Feb-2027","04-Feb-2027","01","Establishment of Novo Theatre, Rangpur (2nd Revised) (Sub-Head: Construction of Sculpture)","Rangpur Novo Theater, Rangpur","600000","01-Oct-2026","30-Nov-2026","Md. Shakiul Alam","Executive Engineer","Address : Purta Bhaban, Rangpur City : Rangpur Thana : Rangpur Sadar District : Rangpur - 1000 Country : Bangladesh","Purta Bhaban, Rangpur","Rangpur","Rangpur Sadar","Rangpur - 1000","0521-62124","0521-62124","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323835"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Patuakhali Road Division","pat001","Patuakhali","Works","NCT","TENDER","Tender - Single Lot","04/e-GP/PMPMajor/Road/PATRHD/2026-2027","228893","1322845","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","04/e-GP/PMPMajor/Road/PATRHD/2026-2027 Periodic Maintenance Programme Providing, Cruck Cutting by Milling Machine & Filling with DBS-Base Course & Wearing Course work   at  Ch. 16+892 (Mohiskhata) to Ch. 29+200 (Amtoli)  of Patuakhali-Amtoli-Barguna-Kakchira Road (R-880) Under Patuakhali Road Division during the year 2026-2027.","Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 20:30","20-Sep-2026 16:30","All tenderers of Bangladeshi National regardless of whether enlisted or not enlisted with the employer may submit Tenders provided that they are qualified as per Qualification Criteria Specified in the Tender Data Sheet (TDS) of the Tender Document. 1. In case of JVCA Experience Certificates (Turnover) submission, the tenderer must submit the documents (Joint Venture Agreement etc) in favour of percent share among all the Joint Venture partners. 2. In case of JV, Lead partner as well as other partner/s shall have the experience separately of similar nature of works as stated in TDS. 3. Tenderer must submit the ownership/Lease/Hire documents of their plants & equipments. 4. For submission of any false information and documents, the Tenderer shall be considererd as Non-Responsive and be De-barred. 5. Tenderer must submit On-going Works and Current Commitment(s) details under all PE's Organization. Hiding On-going Works and Current Commitment(s) will be considered as fraudulent practice and actions will be taken against the associated tenderer according to PPR-2025.The tender participant must be very cautious regarding uploading the certificates and filling up related information (i.e. work name, work value, date of actual work completion etc.) in e-GP system. Any mismatch in uploaded certificates and related information provided will be considered as fraudulent practice and actions will be taken against the associated tenderer according to PPR-2025","Periodic Maintenance Programme Providing, Cruck Cutting by Milling Machine & Filling with DBS-Base Course & Wearing Course work at Ch. 16+892 (Mohiskhata) to Ch. 29+200 (Amtoli) of Patuakhali-Amtoli-Barguna-Kakchira Road (R-880) Under Patuakhali Road Division during the year 2026-2027.","Lot wise","Package wise","Package wise","5000","Payment through Bank","16-Feb-2027","16-Feb-2027","01","Periodic Maintenance Programme Providing, Cruck Cutting by Milling Machine & Filling with DBS-Base Course & Wearing Course work   at  Ch. 16+892 (Mohiskhata) to Ch. 29+200 (Amtoli)  of Patuakhali-Amtoli-Barguna-Kakchira Road (R-880) Under Patuakhali Road Division during the year 2026-2027.","N-8","4000000","02-Nov-2026","02-May-2027","MD. ZAMIL AKTER LIMON","Executive Engineer","Address : Patuakhali Road Division, Sarak Bhaban, Patuakhali City : Patuakhali Thana : Patuakhali Sadar District : Patuakhali - 0000 Country : Bangladesh","Patuakhali Road Division, Sarak Bhaban, Patuakhali","Patuakhali","Patuakhali Sadar","Patuakhali - 0000","0441-62216","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322845"
"Ministry of Industries","","Bangladesh Chemical Industries Corporation (BCIC)","Jamuna Fertilizer Company Limited  (Commercial Division)","","Jamalpur","Goods","NCT","TENDER","Tender - Single Lot","JFCL/LP/OPERATION/UTILITY/6.372","229027","1316826","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","JFCL/LP/OPERATION/UTILITY/6.372 Caustic Soda (Flake)","Chemicals, chemical products and man-made fibres;Chemicals;Gases;Dyes and pigments;Basic inorganic chemicals;Basic organic chemicals;Fertilisers and nitrogen compounds;Plastics in primary forms;Synthetic rubber;Enzymes;Agro-chemical products;Pesticides;Insecticides;Herbicides;Plant-growth regulators;Disinfectants;Rodenticides;Fungicides;Paints, varnishes, printing ink and mastics;Paints;Varnishes;Ink;Mastics, fillers, putty;Solvents;Medicinal products;Medicinal products for the alimentary tract and metabolism;Medicinal products for the blood, blood-forming organs and the cardiovascular system;Medicinal products for dermatology and the musculo-skeletal system;Medicinal products for the genitourinary system and hormones;General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents;Medicinal products for the nervous system and sensory organs;Medicinal products for the respiratory system;Various medicinal products;Glycerol, soaps, detergents, cleaning and polishing preparations, perfumes and toilet preparations;Glycerol;Perfumes and toiletries;Explosives and fine chemical products;Prepared explosives;Glues;Essential oils;Photographic chemicals;Unrecorded media;Specialised chemical products;Man-made fibres;Synthetic fibres;Artificial fibres;Various chemical products;Radiator fluids;Water-treatment chemicals;Anti-corrosion products","25-Aug-2026 23:10","15-Sep-2026 15:00","OTM 1. Upto date Trade License 2. Upto date TIN Certificate. 3. VAT Registration Certifiate. 4. Bank Solvency Certificate. 5. Caustic Soda Supply experiance Certificate within last 05 years. 6. Dealership/Authorization Certificate from Manufacturer. 7. The packing Bag must be printed with Mfg. name, product name, net weight etc.","Caustic Soda (Flake)","Lot wise","Package wise","Package wise","2500","Payment through Bank","13-Mar-2027","13-Mar-2027","1","Caustic Soda (Flake)","JFCL","200000","20-Sep-2026","21-Feb-2027","Md. Abdul Hamim","Deputy General Manager(Com)","Address : General Manager (Commercial) 
Jamuna Fertilizer Company Limited
 Tarakandi, Sarishabari, Jamalpur-2055 City : Jamalpur Thana : Sarishabari District : Jamalpur - 2055 Country : Bangladesh","","Jamalpur","Sarishabari","Jamalpur - 2055","0751-63881","0751-63889","7790100.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316826"
"Ministry of Industries","","Bangladesh Chemical Industries Corporation (BCIC)","Jamuna Fertilizer Company Limited  (Commercial Division)","","Jamalpur","Goods","NCT","TENDER","Tender - Single Lot","JFCL/LP/E AND I /ELECTRICAL/4.2846","215849","1307745","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","JFCL/LP/E AND I /ELECTRICAL/4.2846 Industrial Tube Light Shade","Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment","25-Aug-2026 23:00","13-Sep-2026 15:00","OTM As per STD","Industrial Tube Light Shade","Lot wise","Package wise","Package wise","500","Payment through Bank","11-Mar-2027","11-Mar-2027","Single","Industrial Tube Light Shade","At JFCL Site","18000","30-Sep-2026","31-Jan-2027","Md. Abdul Hamim","Deputy General Manager(Com)","Address : General Manager (Commercial) 
Jamuna Fertilizer Company Limited
 Tarakandi, Sarishabari, Jamalpur-2055 City : Jamalpur Thana : Sarishabari District : Jamalpur - 2055 Country : Bangladesh","","Jamalpur","Sarishabari","Jamalpur - 2055","0751-63881","0751-63889","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1307745"
"Ministry of Housing and Public Works","","Cox's Bazar Development Authority","Cox's Bazar Development Authority","","Cox's Bazar","Goods","NCT","TENDER","Tender - Single Lot","CoxDA/Rev/2026-27/OTM/GD-16","228315","1323214","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CoxDA/Rev/2026-27/OTM/GD-16 Procurement and repair of CoxDA furniture. FY 2026-27","Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Repair, maintenance and associated services of vehicles and related equipment; Miscellaneous repair and maintenance services; Repair, maintenance and installation services; Installation services; Retail trade services of furniture; Retail trade services;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles;Repair services of jewellery;Repair services of leather personal goods;Repair services of garments and textiles;Repair and maintenance services of weapons and weapon systems;Repair and maintenance services of furniture;Repair and maintenance services of musical instruments;Repair and maintenance services of playground equipment;Repair and maintenance services of hotel and restaurant equipment;Installation services of electrical and mechanical equipment;Installation services of equipment for measuring, checking, testing and navigating;Installation services of communications equipment;Installation services of medical and surgical equipment;Installation services of machinery and equipment;Installation services of computers and office equipment;Installation services of metal containers","25-Aug-2026 21:58","06-Sep-2026 14:00","as per TDS.","Procurement and repair of CoxDA furniture. FY 2026-27","Lot wise","Package wise","Package wise","500","Payment through Bank","03-Dec-2026","03-Dec-2026","GD-16","Procurement and repair of CoxDA furniture. FY 2026-27","CoxDA Bhaban, Coxs Bazar 4700","2900","30-Sep-2026","31-Jan-2027","Abu Nayeem Md.Talat","Member (Engineer)","Address : CoxDA Bhaban, Circuit House Road, Cox's Bazar. City : Cox's Bazar Thana : Cox'S Bazar Sadar District : Cox's Bazar - 4700 Country : Bangladesh","CoxDA Bhaban, Circuit House Road, Cox's Bazar.","Cox's Bazar","Cox'S Bazar Sadar","Cox's Bazar - 4700","02-334462520","02-334462522","100000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323214"
"Ministry of Housing and Public Works","","Cox's Bazar Development Authority","Cox's Bazar Development Authority","","Cox's Bazar","Goods","NCT","TENDER","Tender - Single Lot","CoxDA/Rev/2026-27/OTM/GD-02","228315","1323207","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CoxDA/Rev/2026-27/OTM/GD-02 Supply of Gift Items for Coxâ??s Bazar Development Authority. FY 2026-27","Outerwear; Clothing and accessories; Garments; Special clothing and accessories; Clothing and accessories; Leather clothes; Wooden containers, pallets, boxes and other containers; Wood, wood products, cork products, basketware and wickerwork; Printed books, brochures and leaflets; Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals; Various types of printed matter and articles for printing; Paper or paperboard registers, account books, binders, forms and other articles of printed stationery; Miscellaneous printed matter; Various types of printed matter and articles for printing; Rubber products; Film products; Rubber, plastic and film products; Miscellaneous fabricated metal products and related items; Cutlery, tools, locks, keys and hinges; Fabricated products and materials; Fasteners, chain and springs;Coats;Weatherproof clothing;Miscellaneous outerwear;Underwear;Shirts and nightwear;T-shirts;Special clothing;Clothing accessories;Hats and headgear;Fasteners;Leather clothing accessories;Wooden containers;Wooden pallets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Tyres and related products;Unvulcanised and vulcanised rubber articles;Rubberised textile fabrics;Reclaimed rubber;Rubber waste products;Medical articles of rubber;Articles of hard rubber;Radiology film;Cinematographic film;Video films;Metal articles for the bathroom and kitchen;Metal goods;Armour plating;Bearings;Mild steel;Props and mining struts;Cast-iron products;Miscellaneous fire-protection equipment;Cutlery;Tools;Locks, keys and hinges;Fasteners;Chain;Springs","25-Aug-2026 22:00","06-Sep-2026 14:00","as per TDS.","Supply of Gift Items for Cox's Bazar Development Authority. FY 2026-27","Lot wise","Package wise","Package wise","1000","Payment through Bank","03-Dec-2026","03-Dec-2026","GD-02","Supply of Gift Items for Coxâ??s Bazar Development Authority. FY 2026-27","CoxDA Bhaban, Coxs Bazar 4700","58000","30-Sep-2026","28-Feb-2027","Abu Nayeem Md.Talat","Member (Engineer)","Address : CoxDA Bhaban, Circuit House Road, Cox's Bazar. City : Cox's Bazar Thana : Cox'S Bazar Sadar District : Cox's Bazar - 4700 Country : Bangladesh","CoxDA Bhaban, Circuit House Road, Cox's Bazar.","Cox's Bazar","Cox'S Bazar Sadar","Cox's Bazar - 4700","02-334462520","02-334462522","2000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323207"
"Ministry of Industries","","Bangladesh Chemical Industries Corporation (BCIC)","Jamuna Fertilizer Company Limited  (Commercial Division)","","Jamalpur","Goods","NCT","TENDER","Tender - Single Lot","JFCL/LP/E AND I/EM./4.2789","229027","1320010","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","JFCL/LP/E AND I/EM./4.2789 Different Types of Bearing","Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.","25-Aug-2026 23:00","13-Sep-2026 15:00","OTM As per STD","Different Types of Bearing","Lot wise","Package wise","Package wise","1500","Payment through Bank","11-Mar-2027","11-Mar-2027","Single","Different Types of Bearing","At JFCL Site","80000","30-Sep-2026","31-Dec-2026","Md. Abdul Hamim","Deputy General Manager(Com)","Address : General Manager (Commercial) 
Jamuna Fertilizer Company Limited
 Tarakandi, Sarishabari, Jamalpur-2055 City : Jamalpur Thana : Sarishabari District : Jamalpur - 2055 Country : Bangladesh","","Jamalpur","Sarishabari","Jamalpur - 2055","0751-63881","0751-63889","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320010"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Chittagong Medical College Hospital","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","CMCH/egp/2026-2027/Chemical Reagent/Package-4","227486","1322913","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CMCH/egp/2026-2027/Chemical Reagent/Package-4 Procurement of Machine Readable Reagent of AutoBio-A 2000 Plus Or Equivalent Package-4 for the fiscal year 2026-2027","Chemicals, chemical products and man-made fibres;Chemicals;Gases;Dyes and pigments;Basic inorganic chemicals;Basic organic chemicals;Fertilisers and nitrogen compounds;Plastics in primary forms;Synthetic rubber;Enzymes;Agro-chemical products;Pesticides;Insecticides;Herbicides;Plant-growth regulators;Disinfectants;Rodenticides;Fungicides;Paints, varnishes, printing ink and mastics;Paints;Varnishes;Ink;Mastics, fillers, putty;Solvents;Medicinal products;Medicinal products for the alimentary tract and metabolism;Medicinal products for the blood, blood-forming organs and the cardiovascular system;Medicinal products for dermatology and the musculo-skeletal system;Medicinal products for the genitourinary system and hormones;General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents;Medicinal products for the nervous system and sensory organs;Medicinal products for the respiratory system;Various medicinal products;Glycerol, soaps, detergents, cleaning and polishing preparations, perfumes and toilet preparations;Glycerol;Perfumes and toiletries;Explosives and fine chemical products;Prepared explosives;Glues;Essential oils;Photographic chemicals;Unrecorded media;Specialised chemical products;Man-made fibres;Synthetic fibres;Artificial fibres;Various chemical products;Radiator fluids;Water-treatment chemicals;Anti-corrosion products","25-Aug-2026 21:47","08-Sep-2026 14:00","As Per TDS & PCC","Procurement of Machine Readable Reagent of AutoBio-A 2000 Plus Or Equivalent Package-4 for the fiscal year 2026-2027","Lot wise","Package wise","Package wise","1500","Payment through Bank","06-Mar-2027","06-Mar-2027","Single Lot","Procurement of Machine Readable Reagent of AutoBio-A 2000 Plus Or Equivalent Package-4 for the fiscal year 2026-2027","Chittagong Medical College Hospita","85000","01-Oct-2026","30-Jun-2027","Mohammad Taslim Uddin","Director","Address : K.B. Fazlul Kader Road, Panchlaish, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4203 Country : Bangladesh","K.B. Fazlul Kader Road, Panchlaish, Chittagong","Chittagong","Chattogram City Corporation","Chattogram - 4203","031-31630179","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322913"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Patuakhali Road Division","pat001","Patuakhali","Works","NCT","TENDER","Tender - Single Lot","02/e-GP/PMPCulvert/PATRHD/2026-2027","228893","1322846","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/e-GP/PMPCulvert/PATRHD/2026-2027 Construction of RCC Box Culvert (1x3.00m Spanx3.00m Heightx10.25m Width) at Ch.03+519KM (Itbaria Goalbari) of Golachipa Upazila Head Quarter-Rangabli Upazila Head Quarter (Golachipa Part) Z-8801, under Patuakhali Road Division, 2025-2026.","Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 20:30","20-Sep-2026 16:30","All tenderers of Bangladeshi National regardless of whether enlisted or not enlisted with the employer may submit Tenders provided that they are qualified as per Qualification Criteria Specified in the Tender Data Sheet (TDS) of the Tender Document. 1. In case of JVCA Experience Certificates (Turnover) submission, the tenderer must submit the documents (Joint Venture Agreement etc) in favour of percent share among all the Joint Venture partners. 2. In case of JV, Lead partner as well as other partner/s shall have the experience separately of similar nature of works as stated in TDS. 3. Tenderer must submit the ownership/Lease/Hire documents of their plants & equipments. 4. For submission of any false information and documents, the Tenderer shall be considererd as Non-Responsive and be De-barred. 5. Tenderer must submit On-going Works and Current Commitment(s) details under all PE's Organization. Hiding On-going Works and Current Commitment(s) will be considered as fraudulent practice and actions will be taken against the associated tenderer according to PPR-2025.The tender participant must be very cautious regarding uploading the certificates and filling up related information (i.e. work name, work value, date of actual work completion etc.) in e-GP system. Any mismatch in uploaded certificates and related information provided will be considered as fraudulent practice and actions will be taken against the associated tenderer according to PPR-2025","Construction of RCC Box Culvert (1x3.00m Spanx3.00m Heightx10.25m Width) at Ch.03+519KM (Itbaria Goalbari) of Golachipa Upazila Head Quarter-Rangabli Upazila Head Quarter (Golachipa Part) Z-8801, under Patuakhali Road Division, 2025-2026","Lot wise","Package wise","Package wise","2500","Payment through Bank","16-Feb-2027","16-Feb-2027","01","Construction of RCC Box Culvert (1x3.00m Spanx3.00m Heightx10.25m Width) at Ch.03+519KM (Itbaria Goalbari) of Golachipa Upazila Head Quarter-Rangabli Upazila Head Quarter (Golachipa Part) Z-8801, under Patuakhali Road Division, 2025-2026.","Z-8801","200000","01-Nov-2026","31-Oct-2027","MD. ZAMIL AKTER LIMON","Executive Engineer","Address : Patuakhali Road Division, Sarak Bhaban, Patuakhali City : Patuakhali Thana : Patuakhali Sadar District : Patuakhali - 0000 Country : Bangladesh","Patuakhali Road Division, Sarak Bhaban, Patuakhali","Patuakhali","Patuakhali Sadar","Patuakhali - 0000","0441-62216","","8169000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322846"
"Ministry of Finance","Internal Resource Division","National Board of Revenue","Taxes Zone-1, Chattogram","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","1B-5/2026-2027/990","230882","1321984","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","1B-5/2026-2027/990 Procurement of Office Furniture","Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Seats, chairs and associated parts; Non-domestic furniture; Domestic furniture; Miscellaneous furniture and equipment; School furniture;","25-Aug-2026 20:00","06-Sep-2026 10:00","As Per Tender Data Sheet (TDS)","Procurement of Office Furniture","Lot wise","Package wise","Package wise","1000","Payment through Bank","02-Jan-2027","02-Jan-2027","Single Lot","Procurement of Office Furniture","Chattogram","20000","07-Sep-2026","06-Oct-2026","Md. Monjur Alam","COMMISSIONER OF TAXES","Address : CGO Building-1 (2nd Floor), Agrabad, Chattogram City : Chattogram Thana : Chattogram City Corporation District : Chattogram - 4100 Country : Bangladesh","CGO Building-1 (2nd Floor), Agrabad, Chattogram","Chattogram","Chattogram City Corporation","Chattogram - 4100","02-333315190","","2000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321984"
